respondent_id,probability_xyz,probability_seasonal
26707,0.09610947340904775,0.1442740219090472
26708,0.08766764278304616,0.12936924164398217
26709,0.289084804262758,0.8233255588675799
26710,0.5840872960512407,0.862956407641186
26711,0.31419558266871406,0.4199614571057624
26712,0.5798384332795338,0.8318888595702273
26713,0.24948727268472906,0.4527154149070802
26714,0.08786070646215305,0.08725095234853553
26715,0.07959327897119874,0.07927828176708807
26716,0.11164817137021972,0.852021277534643
26717,0.07779023490043553,0.3797272486164405
26718,0.08741426320087763,0.27134968785988345
26719,0.25413040042208573,0.9245881481982877
26720,0.12006252868518703,0.24860658598465993
26721,0.6581283767513151,0.5085933123449289
26722,0.07756016500661041,0.11164122642920106
26723,0.6145978463842965,0.909883052585216
26724,0.09513290117386271,0.7438128830190739
26725,0.09872995742649773,0.0972327374286026
26726,0.07897659616238971,0.17696817655267832
26727,0.1289364980467313,0.8314363488066611
26728,0.13811437420560793,0.4893643848030861
26729,0.08013661867256838,0.17910088885590184
26730,0.08795726324703011,0.21657179330659856
26731,0.07747046409705331,0.2557496343206736
26732,0.07845958917815342,0.09919611358731217
26733,0.8864769576328347,0.8799194775794702
26734,0.8096960336166966,0.43105838961802767
26735,0.09844304365790284,0.50916486867775
26736,0.1031374920582199,0.1810637638068714
26737,0.07984749146193122,0.09309064460102456
26738,0.63654074054871,0.8369485243179193
26739,0.08679966691045829,0.18190798465839253
26740,0.09301464426728773,0.13269087416720016
26741,0.1685073390269036,0.8978549383452327
26742,0.1214470028223795,0.2525881422743608
26743,0.077762597683529,0.42010042710621903
26744,0.10594800307800459,0.7337166685296425
26745,0.11483104883407055,0.8422125172115579
26746,0.09585883729437376,0.18859130548097897
26747,0.08937741999828368,0.21896506443409477
26748,0.09533217042115445,0.16614866092131234
26749,0.09422341704175419,0.6267908879405039
26750,0.5619677716787455,0.8356176183085631
26751,0.41491595231858036,0.4893643848030861
26752,0.07762980318482714,0.1522925089154295
26753,0.17655923047779806,0.6492676804996135
26754,0.14085878611427782,0.3173385411256111
26755,0.07810168631365001,0.40926787603328124
26756,0.07760433294430802,0.14006897071441438
26757,0.7297726332418434,0.7840249690317548
26758,0.6004864069902008,0.8201823221639714
26759,0.0777200660408389,0.11619387884952924
26760,0.07755006191454779,0.16902454797741964
26761,0.16187128704581474,0.8874264908609807
26762,0.15010140516736498,0.6906058828485643
26763,0.8291244064042158,0.8614463839640158
26764,0.8908056198260678,0.8728105241441761
26765,0.08493868033929598,0.3711587956987624
26766,0.11556203273453308,0.18552211189186507
26767,0.7686076384744726,0.762202622212223
26768,0.078018612286791,0.4595558201610429
26769,0.09154722121745934,0.1655303733008221
26770,0.13471376577683095,0.8052302421303633
26771,0.07814958517454675,0.2631829211883068
26772,0.07876100175588409,0.30904989599610727
26773,0.07817381844849823,0.5755700704758978
26774,0.0934888936987337,0.21595860118256582
26775,0.09892614929207044,0.50916486867775
26776,0.44623535684364246,0.5685696390595489
26777,0.16671132903663918,0.8411249863820898
26778,0.1215994729443861,0.2744061976459623
26779,0.11115571008175358,0.4790616246862436
26780,0.4410079160044318,0.8350693847109464
26781,0.13193263246451334,0.22832338541745179
26782,0.07919757389746457,0.24405260864228226
26783,0.08363964735078884,0.21567863575903884
26784,0.23847324038896803,0.6095969775606587
26785,0.3992189267944038,0.5178689974718452
26786,0.10497171561911768,0.1848512277063557
26787,0.07978051356145043,0.6774005421500299
26788,0.1702495244696496,0.928790875652042
26789,0.07905748490748367,0.24253840780723213
26790,0.08363964735078884,0.21567863575903884
26791,0.09612199967257488,0.121894481512105
26792,0.18634380095911424,0.8100837325943118
26793,0.09361651428517785,0.9056814677005188
26794,0.7385851051422,0.8896231639158523
26795,0.08793593339676277,0.8850739655731382
26796,0.08198777181604984,0.10277000162882717
26797,0.2179472544828341,0.49752414605293777
26798,0.1857625868599959,0.2421339440889964
26799,0.12076369308797276,0.160883228012981
26800,0.09139262003653524,0.9110280292253485
26801,0.17904031682541327,0.2892008688599025
26802,0.07752923830399484,0.11304693722904219
26803,0.08937741999828368,0.17729710036844365
26804,0.07814958517454675,0.14525835351328628
26805,0.07894159865094083,0.11689908716174785
26806,0.12732734188355496,0.9223830713869989
26807,0.5150755505196025,0.8417088351729985
26808,0.14088067697250328,0.4893643848030861
26809,0.6793403614006372,0.26976595953856214
26810,0.10027033022675831,0.12892318880961232
26811,0.08010135158268492,0.11888351048128191
26812,0.12176996895858852,0.8498534066257271
26813,0.22227497668885052,0.4349172709294179
26814,0.07794233712016928,0.6160132649196486
26815,0.08766764278304616,0.09804622502660663
26816,0.07879540307031467,0.300883058023025
26817,0.09844304365790284,0.6816441188914428
26818,0.14895241338470872,0.18946270606508386
26819,0.27626919264066896,0.3491936714593249
26820,0.09585883729437376,0.18859130548097897
26821,0.0883220391194582,0.4207209448657503
26822,0.10820034434720809,0.7945621119007709
26823,0.22578069884311128,0.3812841838550233
26824,0.10934755922452215,0.7442736828196551
26825,0.41611616167817667,0.7338258686303403
26826,0.08054625461113273,0.7002144260722921
26827,0.07998146875951968,0.11905744811540028
26828,0.17655923047779806,0.6492676804996135
26829,0.5766874120909876,0.8471990990094486
26830,0.08631721469156987,0.7555421197107334
26831,0.25092340695733645,0.6549734084747119
26832,0.1685073390269036,0.7889337676095419
26833,0.11348875094155426,0.7179190165539328
26834,0.20678585181073225,0.6890886834833498
26835,0.5001594319934503,0.8945225361519424
26836,0.24309107309956982,0.7438128830190739
26837,0.07229367956613622,0.11879094397493127
26838,0.08937741999828368,0.37506333527883734
26839,0.12380917469352797,0.21516820723967578
26840,0.08797939839882928,0.18770675599128014
26841,0.3275698554577969,0.7045453038309459
26842,0.07845711441489985,0.19352099615403145
